time,Axis 1,Axis 2,Axis 3,Axis 4,Axis 5,Axis 6,Axis 7,Axis 8,Left Shoulder-yaw,Left Shoulder-pitch,Left Shoulder-roll,Left Elbow,Right Shoulder-yaw,Right Shoulder-pitch,Right Shoulder-roll,Right Elbow,Left Hip-yaw,Left Hip-pitch,Left Hip-roll,Left Knee,Right Hip-yaw,Right Hip-pitch,Right Hip-roll,Right Knee
0.877,4.324567436089116,10.35930156061474,10.630141721285522,1.5518954413203598,-12.096794804526036,-12.123304252562255,2.669849600947429,3.8329711952561505,-5.763061999999981,3.193643799999995,65.246711,64.66318,-33.667821,-9.801049799999998,31.273840000000007,85.18361800000001,-15.059296999999995,-4.485117999999996,39.03844799999998,71.81054,19.94434999999992,-26.417233999999997,63.52306500000001,45.44518000000005
0.878,4.32738715144848,10.485038053797467,10.71283981405456,1.5823123666178789,-12.178053719962373,-12.234171640745164,2.68064372441898,3.848085740097909,-5.96046799999998,3.248153199999994,65.212754,64.72851999999999,-33.591294000000005,-9.847837199999997,31.18276000000001,85.10105200000001,-15.102757999999996,-4.511451999999997,39.17467199999997,71.70956000000001,20.780899999999917,-26.472475999999997,63.48891,44.916520000000055
0.879,4.334185776642368,10.602166420721597,10.805088756338131,1.6050087114656375,-12.254748740436646,-12.34623401284587,2.690250477540524,3.864820001221581,-6.162766999999977,3.297664599999997,65.17970000000001,64.80624999999999,-33.521886,-9.892602299999997,31.094452000000008,85.019095,-15.144832999999997,-4.5337980999999985,39.31593599999998,71.60228000000001,21.586999999999925,-26.511359,63.449295000000006,44.368540000000074
0.88,4.340984401836256,10.719294787645724,10.897337698621707,1.6277050563133963,-12.33144376091092,-12.45829638494658,2.699857230662068,3.881554262345252,-6.383239999999978,3.328611999999997,65.15,64.92999999999999,-33.47892,-9.929855999999997,31.016440000000006,84.9394,-15.181759999999995,-4.541331999999999,39.47591999999998,71.47160000000001,22.279999999999927,-26.48948,63.38940000000001,43.74880000000005
0.881,4.347783027030143,10.836423154569852,10.98958664090528,1.6504014011611552,-12.408138781385192,-12.570358757047288,2.7094639837836128,3.8982885234689224,-6.60371299999998,3.3595593999999966,65.1203,65.05375,-33.435954,-9.967109699999996,30.93842800000001,84.859705,-15.218686999999996,-4.548865899999999,39.63590399999998,71.34092000000001,22.97299999999993,-26.467601,63.329505,43.12906000000006
0.882,4.354581652224031,10.953551521493976,11.081835583188852,1.673097746008914,-12.484833801859468,-12.682421129147995,2.7190707369051577,3.9150227845925936,-6.8241859999999805,3.3905067999999967,65.09060000000001,65.1775,-33.392988,-10.004363399999995,30.860416000000008,84.78001,-15.255614,-4.5563997999999994,39.795887999999984,71.21024000000001,23.665999999999936,-26.445722,63.26961000000001,42.50932000000006
0.883,4.3613802774179184,11.070679888418104,11.174084525472423,1.6957940908566729,-12.561528822333743,-12.794483501248704,2.728677490026702,3.9317570457162647,-7.044658999999983,3.4214541999999977,65.0609,65.30125,-33.350022,-10.041617099999996,30.782404000000007,84.700315,-15.292541,-4.563933699999999,39.95587199999999,71.07956000000001,24.35899999999994,-26.423843,63.20971500000001,41.889580000000045
0.884,4.368178902611806,11.187808255342231,11.266333467755999,1.7184904357044315,-12.638223842808015,-12.906545873349412,2.7382842431482466,3.948491306839936,-7.265131999999985,3.4524015999999977,65.0312,65.425,-33.307056,-10.078870799999995,30.704392000000006,84.62062,-15.329468,-4.571467599999999,40.115855999999994,70.94888,25.051999999999943,-26.401964000000003,63.149820000000005,41.269840000000045
0.885,4.374977527805694,11.30493662226636,11.358582410039572,1.7411867805521903,-12.71491886328229,-13.01860824545012,2.747890996269791,3.965225567963608,-7.485604999999985,3.483348999999998,65.00150000000001,65.54875,-33.26409,-10.116124499999996,30.626380000000005,84.540925,-15.366395,-4.5790015,40.275839999999995,70.8182,25.744999999999948,-26.380085,63.08992500000001,40.650100000000045
0.886,4.3817761529995805,11.422064989190488,11.450831352323144,1.7638831253999492,-12.791613883756565,-13.130670617550829,2.7574977493913355,3.981959829087279,-7.706077999999987,3.5142963999999974,64.9718,65.6725,-33.221124,-10.153378199999995,30.548368000000007,84.46123,-15.403322,-4.586535399999999,40.43582399999999,70.68752,26.437999999999953,-26.358206,63.03003,40.03036000000005
